event_id,event_name,category,format,duration_hours,level,price,avg_rating,n_participants_avg,has_certificate,hands_on,language
EVT035,Brand Identity Design,Design,Online,2,Intermédiaire,29,3.6,42,1,0,AR
EVT036,UI Patterns & Components,Design,Online,3,Intermédiaire,99,3.7,84,1,0,FR/EN
EVT037,Color Theory & Typography,Design,Hybride,4,Avancé,29,4.9,32,1,0,FR
EVT038,User Testing Workshop,Design,Hybride,8,Débutant,99,3.9,41,1,0,FR/EN
EVT039,Prototyping Avancé,Design,Hybride,4,Avancé,249,3.9,21,0,1,AR
EVT040,Adobe XD Workshop,Design,Online,2,Intermédiaire,49,4.5,48,0,1,FR/EN
EVT041,Illustration Vectorielle,Design,Hybride,6,Avancé,0,3.7,103,0,0,AR
EVT042,3D Design Blender,Design,Hybride,8,Débutant,199,3.7,54,1,0,AR
EVT043,Product Design Sprint,Design,Online,3,Avancé,29,4.0,86,1,0,FR
EVT044,Accessibility Design,Design,Online,3,Intermédiaire,0,3.8,57,1,0,AR
EVT045,Design Thinking,Design,Online,2,Intermédiaire,0,4.8,43,0,1,AR
EVT046,Framer Workshop,Design,Presentiel,3,Débutant,0,4.5,66,1,1,FR
EVT047,After Effects Animation,Design,Presentiel,4,Avancé,199,4.5,83,1,0,FR
EVT048,Responsive Web Design,Design,Presentiel,3,Avancé,99,3.6,91,1,1,FR/EN
EVT049,Design Portfolio,Design,Presentiel,6,Avancé,29,4.1,88,0,1,FR
EVT050,Sketch App Masterclass,Design,Hybride,6,Débutant,79,4.0,23,1,1,FR/EN
EVT051,Canva Pro Workshop,Design,Online,4,Avancé,99,4.5,56,1,1,FR/EN
EVT052,Design Token System,Design,Online,3,Intermédiaire,199,4.5,37,1,1,FR/EN
EVT053,Dark Mode UI,Design,Online,4,Intermédiaire,79,4.1,89,1,1,AR
EVT054,Mobile First Design,Design,Presentiel,3,Avancé,249,4.7,116,0,0,AR
EVT055,Micro-interactions Design,Design,Hybride,8,Intermédiaire,29,4.7,111,0,1,FR
EVT056,Icon Design,Design,Online,3,Débutant,0,3.9,75,0,1,AR
EVT057,Visual Storytelling,Design,Hybride,8,Débutant,199,4.2,46,0,0,FR
EVT058,Design Critique Methods,Design,Presentiel,3,Débutant,249,3.6,46,0,1,FR
EVT059,AI in Design Tools,Design,Presentiel,8,Avancé,149,4.9,71,1,1,FR
EVT060,Design Handoff Dev,Design,Hybride,6,Intermédiaire,99,4.6,96,1,1,FR/EN
EVT061,Freelance Business,Transversal,Online,4,Intermédiaire,29,4.6,45,1,1,AR
EVT062,Agile & Scrum,Transversal,Hybride,2,Débutant,49,3.8,103,0,0,FR
EVT063,Communication Client,Transversal,Presentiel,6,Intermédiaire,249,4.1,41,1,1,FR/EN
EVT064,Pricing & Négociation,Transversal,Hybride,2,Avancé,199,4.2,60,1,1,AR
EVT065,Portfolio Building,Transversal,Hybride,8,Avancé,79,4.2,49,1,1,FR
EVT066,Remote Work Best Practices,Transversal,Presentiel,4,Avancé,199,4.6,74,0,0,AR
EVT067,No-Code Tools,Transversal,Hybride,8,Avancé,0,3.6,69,0,1,FR
EVT068,Personal Branding,Transversal,Online,4,Intermédiaire,149,3.8,56,1,1,AR
EVT069,Gestion de Projet,Transversal,Presentiel,4,Débutant,249,3.5,84,0,1,FR
EVT070,Networking Event,Transversal,Hybride,2,Avancé,0,4.6,46,0,0,FR/EN
