registration_id,user_id,event_id,registration_date,completed,rating_given,referral_source,device,days_before_event
REG00108,USR0016,EVT018,2023-02-24,1,4.0,Social Media,Tablet,32
REG00109,USR0016,EVT007,2023-05-20,1,4.4,Push Notification,Desktop,41
REG00110,USR0016,EVT014,2023-11-15,1,4.9,Direct,Tablet,45
REG00111,USR0016,EVT021,2023-07-25,1,3.0,Social Media,Mobile,34
REG00112,USR0016,EVT069,2023-04-10,1,3.2,Email,Tablet,29
REG00113,USR0016,EVT070,2024-02-05,1,3.2,Direct,Desktop,12
REG00114,USR0016,EVT009,2023-08-29,0,,Social Media,Desktop,53
REG00115,USR0016,EVT026,2024-09-19,1,4.7,Social Media,Mobile,28
REG00116,USR0016,EVT001,2023-05-30,1,3.4,Push Notification,Mobile,33
REG00117,USR0016,EVT061,2024-12-17,1,4.0,Recommandation,Desktop,43
REG00118,USR0016,EVT017,2023-04-13,0,,Direct,Desktop,43
REG00119,USR0016,EVT066,2023-10-09,1,4.4,Email,Desktop,27
REG00120,USR0016,EVT053,2024-03-11,1,3.6,Email,Tablet,25
REG00121,USR0016,EVT042,2023-01-12,1,3.1,Social Media,Desktop,3
REG00122,USR0017,EVT027,2024-04-24,0,,Direct,Desktop,1
REG00123,USR0017,EVT063,2023-06-12,1,4.7,Social Media,Mobile,23
REG00124,USR0017,EVT024,2024-12-24,1,4.0,Push Notification,Tablet,10
REG00125,USR0017,EVT005,2023-12-27,1,4.1,Direct,Tablet,55
REG00126,USR0017,EVT067,2023-05-24,1,4.5,Recommandation,Desktop,5
REG00127,USR0017,EVT030,2024-10-22,1,4.9,Social Media,Tablet,12
REG00128,USR0017,EVT019,2024-08-12,1,4.0,Social Media,Desktop,9
REG00129,USR0018,EVT045,2024-08-25,0,,Recommandation,Tablet,40
REG00130,USR0018,EVT018,2024-02-18,1,3.1,Push Notification,Mobile,7
REG00131,USR0018,EVT051,2024-11-12,1,4.9,Direct,Desktop,49
REG00132,USR0018,EVT044,2023-08-26,0,,Push Notification,Mobile,58
REG00133,USR0018,EVT007,2023-06-28,1,3.8,Direct,Mobile,4
REG00134,USR0018,EVT034,2024-09-18,1,3.1,Email,Desktop,49
REG00135,USR0018,EVT058,2024-01-19,1,4.7,Push Notification,Desktop,7
REG00136,USR0018,EVT016,2024-12-16,1,3.3,Social Media,Tablet,13
REG00137,USR0018,EVT050,2023-07-20,1,3.9,Recommandation,Mobile,13
REG00138,USR0018,EVT023,2023-06-15,1,4.1,Push Notification,Mobile,38
REG00139,USR0018,EVT032,2023-01-25,1,4.3,Push Notification,Mobile,52
REG00140,USR0018,EVT035,2023-05-24,0,,Recommandation,Desktop,37
REG00141,USR0018,EVT025,2024-07-13,0,,Recommandation,Mobile,44
REG00142,USR0019,EVT028,2024-10-19,1,3.4,Push Notification,Tablet,53
REG00143,USR0019,EVT010,2024-04-30,1,3.7,Social Media,Mobile,52
REG00144,USR0019,EVT007,2023-03-10,1,4.3,Email,Tablet,6
REG00145,USR0019,EVT022,2023-05-11,1,3.6,Email,Desktop,15
REG00146,USR0019,EVT061,2023-02-22,1,3.7,Push Notification,Desktop,60
REG00147,USR0019,EVT067,2023-09-15,1,3.7,Push Notification,Desktop,5
REG00148,USR0019,EVT004,2024-07-01,1,4.7,Social Media,Tablet,20
REG00149,USR0019,EVT026,2024-02-13,1,4.1,Email,Tablet,31
REG00150,USR0019,EVT025,2023-09-27,1,3.1,Direct,Desktop,13
REG00151,USR0019,EVT019,2023-12-09,0,,Email,Mobile,14
REG00152,USR0019,EVT069,2024-07-14,0,,Recommandation,Tablet,59
REG00153,USR0019,EVT029,2023-03-05,1,3.1,Social Media,Tablet,45
REG00154,USR0019,EVT008,2023-02-06,1,3.1,Direct,Tablet,48
REG00155,USR0019,EVT047,2024-09-19,0,,Social Media,Desktop,9
REG00156,USR0019,EVT041,2023-10-05,1,3.2,Direct,Tablet,15
REG00157,USR0020,EVT047,2024-03-17,1,4.6,Push Notification,Mobile,60
REG00158,USR0020,EVT062,2023-02-26,1,4.6,Push Notification,Tablet,39
REG00159,USR0020,EVT046,2024-01-24,1,4.5,Social Media,Desktop,4
REG00160,USR0020,EVT068,2024-02-01,1,4.4,Direct,Tablet,28
REG00161,USR0020,EVT044,2024-07-16,1,3.9,Social Media,Desktop,23
REG00162,USR0020,EVT039,2023-07-18,1,4.8,Push Notification,Mobile,6
REG00163,USR0020,EVT048,2024-08-25,1,3.8,Social Media,Tablet,3
REG00164,USR0020,EVT061,2023-01-16,0,,Push Notification,Mobile,5
REG00165,USR0020,EVT041,2023-02-28,1,3.4,Email,Desktop,23
REG00166,USR0020,EVT042,2024-09-08,1,3.5,Recommandation,Mobile,39
REG00167,USR0020,EVT066,2024-02-12,1,3.2,Email,Mobile,17
REG00168,USR0020,EVT051,2024-07-10,1,4.4,Recommandation,Mobile,29
REG00169,USR0020,EVT024,2024-12-31,1,3.7,Social Media,Desktop,56
REG00170,USR0021,EVT062,2024-06-23,0,,Recommandation,Tablet,35
REG00171,USR0021,EVT036,2024-05-30,1,3.7,Direct,Tablet,40
REG00172,USR0021,EVT050,2024-05-12,1,3.4,Push Notification,Tablet,15
REG00173,USR0021,EVT032,2023-11-09,1,3.4,Recommandation,Tablet,53
REG00174,USR0021,EVT070,2023-05-26,1,3.5,Direct,Tablet,49
REG00175,USR0021,EVT043,2024-04-09,0,,Email,Desktop,54
REG00176,USR0021,EVT037,2023-02-04,1,4.2,Recommandation,Mobile,4
REG00177,USR0021,EVT033,2023-10-13,0,,Direct,Desktop,2
REG00178,USR0021,EVT042,2024-01-27,1,3.1,Push Notification,Desktop,12
REG00179,USR0021,EVT055,2024-11-06,1,3.1,Recommandation,Mobile,35
REG00180,USR0021,EVT046,2023-12-23,0,,Social Media,Desktop,60
REG00181,USR0021,EVT048,2023-09-26,0,,Social Media,Mobile,49
REG00182,USR0022,EVT009,2024-09-28,1,3.9,Email,Mobile,36
REG00183,USR0022,EVT010,2024-02-02,0,,Recommandation,Tablet,30
REG00184,USR0023,EVT010,2024-08-04,1,3.5,Direct,Desktop,48
REG00185,USR0023,EVT020,2023-09-01,1,3.0,Recommandation,Mobile,16
REG00186,USR0023,EVT065,2024-07-09,1,4.1,Email,Tablet,18
REG00187,USR0023,EVT016,2024-01-06,1,3.5,Social Media,Mobile,8
REG00188,USR0023,EVT017,2023-11-11,1,3.6,Recommandation,Mobile,29
REG00189,USR0023,EVT013,2024-04-18,1,3.0,Email,Desktop,31
REG00190,USR0023,EVT009,2024-10-15,0,,Push Notification,Desktop,4
REG00191,USR0023,EVT006,2024-08-16,0,,Recommandation,Tablet,36
REG00192,USR0023,EVT059,2023-11-18,0,,Direct,Mobile,17
REG00193,USR0023,EVT039,2023-10-10,1,4.0,Push Notification,Tablet,12
REG00194,USR0024,EVT003,2024-11-02,1,3.2,Email,Mobile,44
REG00195,USR0024,EVT016,2024-06-02,0,,Social Media,Desktop,3
REG00196,USR0024,EVT065,2024-07-20,1,3.1,Recommandation,Desktop,2
REG00197,USR0024,EVT020,2024-11-25,0,,Recommandation,Tablet,46
REG00198,USR0024,EVT048,2023-02-15,1,3.7,Email,Tablet,29
REG00199,USR0024,EVT041,2023-04-26,1,3.5,Recommandation,Tablet,24
REG00200,USR0025,EVT027,2024-03-01,1,3.9,Recommandation,Mobile,2
REG00201,USR0025,EVT006,2023-12-01,1,3.7,Direct,Tablet,24
REG00202,USR0025,EVT018,2024-04-26,0,,Recommandation,Tablet,2
REG00203,USR0025,EVT061,2023-06-14,1,3.6,Push Notification,Tablet,2
REG00204,USR0025,EVT012,2023-04-19,1,4.6,Social Media,Tablet,50
REG00205,USR0025,EVT007,2024-06-04,1,4.4,Push Notification,Desktop,54
REG00206,USR0025,EVT014,2024-08-19,1,4.5,Direct,Tablet,6
REG00207,USR0025,EVT028,2023-03-21,0,,Push Notification,Tablet,33
REG00208,USR0025,EVT008,2024-08-11,1,4.5,Social Media,Tablet,8
REG00209,USR0025,EVT023,2024-06-24,1,4.2,Social Media,Tablet,29
REG00210,USR0025,EVT025,2023-11-21,1,4.7,Recommandation,Mobile,22
REG00211,USR0025,EVT030,2023-09-06,1,5.0,Push Notification,Desktop,21
REG00212,USR0025,EVT016,2023-04-29,1,3.9,Direct,Desktop,6
REG00213,USR0025,EVT010,2023-12-27,1,3.2,Recommandation,Tablet,31
REG00214,USR0025,EVT009,2024-09-11,1,4.6,Push Notification,Tablet,53
REG00215,USR0025,EVT051,2023-05-09,0,,Push Notification,Desktop,44
REG00216,USR0025,EVT038,2024-08-21,1,4.2,Recommandation,Desktop,21
REG00217,USR0026,EVT069,2024-02-23,1,5.0,Social Media,Desktop,41
REG00218,USR0026,EVT001,2023-07-22,0,,Direct,Mobile,11
REG00219,USR0026,EVT005,2023-05-04,1,4.5,Direct,Tablet,7
REG00220,USR0027,EVT038,2024-03-17,1,3.3,Email,Mobile,33
REG00221,USR0027,EVT035,2024-06-26,0,,Direct,Desktop,9
REG00222,USR0027,EVT070,2024-02-16,1,3.5,Recommandation,Mobile,22
REG00223,USR0027,EVT066,2023-12-11,1,4.2,Email,Mobile,48
REG00224,USR0028,EVT052,2024-02-23,1,4.5,Direct,Desktop,49
REG00225,USR0028,EVT037,2024-05-03,1,4.5,Social Media,Tablet,6
REG00226,USR0028,EVT036,2023-06-05,0,,Social Media,Tablet,24
REG00227,USR0028,EVT032,2024-11-21,1,3.8,Direct,Mobile,33
REG00228,USR0028,EVT070,2024-08-25,1,4.5,Push Notification,Desktop,32
REG00229,USR0028,EVT062,2023-12-16,1,4.0,Social Media,Tablet,33
REG00230,USR0028,EVT065,2024-03-12,1,3.8,Push Notification,Mobile,3
REG00231,USR0028,EVT022,2023-08-04,1,3.6,Social Media,Desktop,7
REG00232,USR0029,EVT052,2023-06-19,1,3.5,Direct,Mobile,57
REG00233,USR0029,EVT007,2023-06-23,1,4.8,Social Media,Mobile,60
REG00234,USR0029,EVT057,2023-08-26,1,3.3,Push Notification,Tablet,54
REG00235,USR0029,EVT001,2024-06-04,1,3.1,Email,Tablet,35
REG00236,USR0029,EVT033,2023-07-19,1,4.7,Email,Desktop,14
REG00237,USR0029,EVT068,2023-10-16,0,,Social Media,Desktop,47
REG00238,USR0029,EVT040,2024-03-31,1,4.7,Recommandation,Mobile,46
REG00239,USR0030,EVT006,2024-03-31,0,,Direct,Desktop,6
REG00240,USR0030,EVT003,2023-05-21,0,,Email,Desktop,52
REG00241,USR0030,EVT008,2023-03-22,1,3.4,Email,Desktop,11
REG00242,USR0030,EVT062,2024-06-03,1,3.9,Social Media,Tablet,50
REG00243,USR0030,EVT064,2023-03-17,1,3.6,Email,Desktop,7
REG00244,USR0030,EVT017,2024-12-23,1,3.6,Social Media,Tablet,54
REG00245,USR0030,EVT015,2024-10-03,1,4.3,Email,Mobile,9
REG00246,USR0030,EVT024,2024-08-23,1,4.9,Push Notification,Desktop,31
REG00247,USR0030,EVT009,2023-06-05,1,3.4,Direct,Desktop,9
REG00248,USR0030,EVT001,2023-07-23,1,3.2,Social Media,Tablet,48
REG00249,USR0030,EVT029,2023-08-08,1,3.1,Social Media,Tablet,14
REG00250,USR0030,EVT020,2024-12-28,1,3.8,Recommandation,Tablet,25
REG00251,USR0030,EVT022,2024-10-08,1,4.3,Direct,Tablet,43
REG00252,USR0031,EVT070,2023-08-26,0,,Direct,Desktop,51
REG00253,USR0031,EVT067,2024-10-07,1,3.7,Direct,Desktop,7
REG00254,USR0031,EVT032,2023-08-13,1,4.8,Recommandation,Desktop,29
REG00255,USR0031,EVT054,2023-11-30,1,3.8,Push Notification,Desktop,21
REG00256,USR0031,EVT018,2024-11-07,1,4.4,Push Notification,Desktop,54
REG00257,USR0032,EVT028,2024-09-07,1,3.5,Recommandation,Desktop,33
REG00258,USR0032,EVT031,2023-08-09,0,,Direct,Mobile,36
REG00259,USR0032,EVT036,2023-11-27,1,3.6,Direct,Desktop,28
REG00260,USR0032,EVT026,2024-02-13,1,3.1,Direct,Tablet,15
REG00261,USR0032,EVT070,2023-12-14,1,3.1,Direct,Desktop,15
REG00262,USR0032,EVT010,2024-08-09,0,,Social Media,Mobile,50
REG00263,USR0032,EVT050,2024-10-02,1,4.9,Social Media,Desktop,9
REG00264,USR0032,EVT055,2024-09-11,1,4.9,Email,Desktop,6
REG00265,USR0032,EVT069,2024-12-22,1,3.7,Social Media,Mobile,42
REG00266,USR0032,EVT023,2023-02-20,1,3.7,Push Notification,Mobile,54
REG00267,USR0032,EVT022,2024-07-02,1,4.4,Recommandation,Mobile,59
REG00268,USR0032,EVT039,2024-01-18,1,3.4,Push Notification,Mobile,3
REG00269,USR0032,EVT030,2023-01-21,1,4.1,Social Media,Desktop,51
REG00270,USR0032,EVT063,2024-05-11,1,3.6,Email,Mobile,41
REG00271,USR0033,EVT001,2023-09-11,1,4.5,Direct,Tablet,26
REG00272,USR0033,EVT049,2023-05-15,0,,Recommandation,Mobile,5
REG00273,USR0033,EVT051,2023-03-17,1,4.4,Direct,Mobile,1
REG00274,USR0033,EVT028,2024-07-08,1,3.3,Social Media,Desktop,13
REG00275,USR0033,EVT025,2024-09-12,0,,Recommandation,Desktop,33
REG00276,USR0033,EVT021,2023-01-24,1,3.9,Email,Desktop,42
REG00277,USR0033,EVT027,2024-08-13,1,3.6,Email,Mobile,27
REG00278,USR0033,EVT005,2024-07-28,1,3.6,Social Media,Tablet,16
REG00279,USR0033,EVT069,2024-01-27,1,4.0,Direct,Desktop,49
REG00280,USR0033,EVT024,2024-07-13,1,3.9,Social Media,Mobile,26
REG00281,USR0033,EVT019,2023-08-26,1,4.0,Email,Tablet,20
REG00282,USR0033,EVT047,2023-12-07,1,4.3,Email,Mobile,36
REG00283,USR0033,EVT023,2023-06-23,1,4.9,Social Media,Mobile,6
REG00284,USR0033,EVT014,2023-05-25,1,4.7,Social Media,Tablet,54
REG00285,USR0034,EVT066,2023-03-02,1,3.5,Recommandation,Tablet,22
REG00286,USR0034,EVT041,2023-06-04,1,4.4,Social Media,Desktop,56
REG00287,USR0034,EVT065,2023-01-06,1,3.4,Social Media,Desktop,35
REG00288,USR0034,EVT051,2024-05-26,1,4.3,Recommandation,Desktop,46
REG00289,USR0034,EVT069,2024-05-09,1,4.7,Email,Mobile,28
REG00290,USR0034,EVT043,2024-12-17,1,3.3,Email,Mobile,34
REG00291,USR0034,EVT060,2023-05-05,1,3.9,Email,Mobile,57
REG00292,USR0034,EVT055,2024-03-10,1,4.3,Social Media,Desktop,9
REG00293,USR0034,EVT061,2024-07-14,1,3.0,Email,Desktop,19
REG00294,USR0034,EVT032,2024-11-23,1,3.6,Recommandation,Tablet,42
REG00295,USR0034,EVT070,2023-06-19,1,4.0,Push Notification,Tablet,46
REG00296,USR0035,EVT022,2024-09-11,1,3.9,Recommandation,Tablet,47
REG00297,USR0035,EVT011,2023-05-19,1,4.4,Direct,Mobile,21
REG00298,USR0035,EVT023,2024-03-02,1,3.9,Email,Desktop,45
REG00299,USR0035,EVT026,2023-07-12,1,3.2,Direct,Desktop,7
REG00300,USR0035,EVT027,2023-03-04,1,4.2,Email,Desktop,41
REG00301,USR0035,EVT029,2024-07-26,0,,Recommandation,Tablet,1
REG00302,USR0035,EVT061,2023-07-17,1,4.6,Direct,Tablet,47
REG00303,USR0035,EVT046,2023-11-10,1,4.5,Recommandation,Tablet,35
REG00304,USR0035,EVT037,2024-10-18,1,3.2,Push Notification,Mobile,47
REG00305,USR0036,EVT022,2023-07-02,1,3.2,Social Media,Tablet,42
REG00306,USR0036,EVT062,2024-01-28,1,4.5,Social Media,Tablet,18
REG00307,USR0036,EVT007,2024-09-22,1,3.9,Push Notification,Mobile,51
REG00308,USR0036,EVT011,2023-08-26,0,,Email,Tablet,10
REG00309,USR0036,EVT024,2023-05-27,1,4.7,Recommandation,Mobile,58
REG00310,USR0036,EVT047,2023-02-23,1,4.6,Direct,Tablet,31
REG00311,USR0037,EVT038,2024-05-27,1,3.5,Direct,Desktop,50
REG00312,USR0037,EVT062,2024-01-30,1,3.7,Social Media,Desktop,34
REG00313,USR0037,EVT047,2023-03-22,0,,Push Notification,Mobile,41
REG00314,USR0037,EVT053,2023-10-12,1,4.7,Social Media,Desktop,32
REG00315,USR0037,EVT060,2024-12-12,1,4.4,Social Media,Desktop,42
REG00316,USR0037,EVT037,2023-12-23,1,4.7,Direct,Tablet,23
REG00317,USR0037,EVT068,2024-03-10,1,4.1,Push Notification,Desktop,24
REG00318,USR0037,EVT004,2023-07-03,0,,Email,Mobile,29
REG00319,USR0038,EVT064,2023-07-19,1,3.6,Email,Desktop,59
REG00320,USR0038,EVT050,2023-09-17,1,3.0,Recommandation,Mobile,42
REG00321,USR0038,EVT039,2023-10-09,1,3.8,Recommandation,Desktop,41
REG00322,USR0038,EVT033,2023-02-28,0,,Email,Tablet,60
REG00323,USR0038,EVT068,2024-04-27,0,,Direct,Desktop,12
REG00324,USR0038,EVT031,2024-04-29,1,4.3,Social Media,Mobile,3
REG00325,USR0038,EVT040,2024-01-14,1,4.8,Push Notification,Tablet,48
REG00326,USR0038,EVT005,2023-07-01,0,,Push Notification,Mobile,27
REG00327,USR0038,EVT027,2023-05-03,1,4.3,Email,Desktop,7
REG00328,USR0039,EVT014,2023-10-12,0,,Push Notification,Tablet,40
REG00329,USR0039,EVT006,2023-01-18,1,4.3,Recommandation,Tablet,11
REG00330,USR0039,EVT030,2024-08-23,1,3.7,Email,Tablet,26
REG00331,USR0039,EVT011,2024-03-02,0,,Email,Mobile,13
REG00332,USR0039,EVT064,2024-05-28,1,3.5,Push Notification,Desktop,3
REG00333,USR0039,EVT019,2023-10-10,1,4.4,Direct,Mobile,41
REG00334,USR0039,EVT061,2023-01-04,1,4.1,Email,Desktop,30
REG00335,USR0039,EVT025,2024-08-04,0,,Email,Tablet,60
REG00336,USR0039,EVT065,2024-04-19,1,4.8,Push Notification,Tablet,6
REG00337,USR0039,EVT068,2023-07-10,1,4.3,Email,Mobile,51
REG00338,USR0039,EVT003,2023-01-11,1,3.7,Email,Tablet,16
REG00339,USR0039,EVT002,2023-11-12,0,,Push Notification,Tablet,49
REG00340,USR0039,EVT027,2023-05-16,1,3.8,Recommandation,Mobile,18
REG00341,USR0039,EVT023,2023-05-24,1,3.8,Push Notification,Desktop,57
REG00342,USR0039,EVT069,2023-07-24,1,3.6,Direct,Desktop,6
REG00343,USR0039,EVT036,2024-05-16,1,3.7,Social Media,Desktop,54
REG00344,USR0039,EVT034,2024-10-08,1,3.3,Social Media,Desktop,10
REG00345,USR0040,EVT015,2023-08-04,0,,Direct,Desktop,42
REG00346,USR0040,EVT070,2024-11-29,1,3.4,Social Media,Tablet,54
REG00347,USR0040,EVT028,2023-10-03,1,4.5,Recommandation,Mobile,30
REG00348,USR0040,EVT067,2023-09-25,1,3.2,Push Notification,Desktop,9
REG00349,USR0040,EVT068,2024-04-23,1,3.7,Direct,Tablet,38
REG00350,USR0040,EVT023,2023-02-04,1,3.2,Recommandation,Mobile,11
REG00351,USR0040,EVT014,2024-03-07,1,3.7,Email,Mobile,59
REG00352,USR0040,EVT025,2024-01-02,1,3.9,Push Notification,Mobile,29
REG00353,USR0040,EVT018,2024-09-23,1,4.2,Direct,Tablet,26
REG00354,USR0040,EVT022,2024-04-29,0,,Recommandation,Tablet,24
